"","Fixed.Eff","df","AIC","BIC","deviance","dDev","Percent.explained","p"
"1","NULL",2,60905.6169902379,60918.7485759604,227143.969896981,0,0,""
"2","Year",13,60533.2861297046,60618.6414369009,216567.19149492,-10576.7784020607,8.77,"< 0.001"
"3","Month",18,59289.0840461696,59407.8573297126,184134.72300867,-32432.4684862502,26.9,"< 0.001"
"4","s(Lat,Long)",26,59050.3954367482,59219.7548715587,177808.49456672,-6326.22844194961,5.25,"< 0.001"
"5","Fishing Cluster",28,55837.9605478318,56020.0698664691,106568.371319213,-71240.1232475067,59.08,"< 0.001"
